Start,Output
102.27,67.07773417
57.83,67.07773417
21.78,67.07773414
82.2,67.07773417
35.43,67.07773417
93.95,67.07773417
62.11,67.07773417
65.93,67.07773417
46.97,67.07773417
106.89,67.07773417
70.12,67.07773417
34.56,67.07773417
49.14,67.07773417
30.11,67.07773417
49.16,67.07773417
57.05,67.07773417
118.17,67.07773417
72.71,67.07773417
26.41,67.07773417
87.77,67.07773417
67.17,67.07773417
106.6,67.07773417
114.39,67.07773417
77.02,67.07773417
75.2,67.07773417
51.11,67.07773417
90.71,67.07773417
69.49,67.07773417
40.94,67.07773417
28.24,67.07773417
20.76,67.07773416
58.56,67.07773417
61.49,67.07773417
108.23,67.07773417
28.93,67.07773417
20.82,67.07773415
97.1,67.07773417
90.07,67.07773417
73.3,67.07773417
108.79,67.07773417
93.76,67.07773417
42.33,67.07773417
81.15,67.07773417
115.42,67.07773417
107.18,67.07773417
41.83,67.07773417
109.57,67.07773417
98.54,67.07773417
27.32,67.07773417
27.18,67.07773417
34.39,67.07773417
100.61,67.07773417
65.65,67.07773417
43.51,67.07773417
43.31,67.07773417
97.4,67.07773417
70.54,67.07773417
37.32,67.07773417
79.16,67.07773417
88.94,67.07773417
55.05,67.07773417
43.39,67.07773417
41.53,67.07773417
72.26,67.07773417
95.61,67.07773417
38.56,67.07773417
29.41,67.07773417
92.57,67.07773417
31.91,67.07773417
63.3,67.07773417
93.19,67.07773417
35.16,67.07773417
32.94,67.07773417
66.76,67.07773417
85.15,67.07773417
105.34,67.07773417
63.87,67.07773417
92.55,67.07773417
29.83,67.07773417
29.57,67.07773417
108.72,67.07773417
95.5,67.07773417
44.07,67.07773417
26.68,67.07773417
67.45,67.07773417
102.76,67.07773417
95.13,67.07773417
97.63,67.07773417
86.81,67.07773417
66.36,67.07773417
64.71,67.07773417
98.23,67.07773417
25.86,67.07773417
66.3,67.07773417
23.49,67.07773416
81.27,67.07773417
94.56,67.07773417
31.74,67.07773417
96.03,67.07773417
21.99,67.07773412
58.23,67.07773417
55.95,67.07773417
56.43,67.07773417
56.91,67.07773417
84.03,67.07773417
31.4,67.07773417
18.09,67.07773329
33.36,67.07773417
78.26,67.07773417
89.8,67.07773417
62.46,67.07773417
105.88,67.07773417
82.86,67.07773417
70.54,67.07773417
89.18,67.07773417
64.8,67.07773417
32.17,67.07773417
84.9,67.07773417
94.23,67.07773417
55.38,67.07773417
74.65,67.07773417
49.61,67.07773417
63.74,67.07773417
44.39,67.07773417
96.36,67.07773417
48.16,67.07773417
57.33,67.07773417
59.93,67.07773417
83.83,67.07773417
96.09,67.07773417
47.65,67.07773417
28.93,67.07773417
36.88,67.07773417
47.64,67.07773417
30.63,67.07773417
54.24,67.07773417
75.41,67.07773417
48.72,67.07773417
37.29,67.07773417
58.08,67.07773417
44.07,67.07773417
93.97,67.07773417
40.8,67.07773417
29.51,67.07773417
99.17,67.07773417
73.87,67.07773417
64.4,67.07773417
66.36,67.07773417
87.04,67.07773417
60.72,67.07773417
62.81,67.07773417
51.55,67.07773417
81.92,67.07773417
132.99,67.07773417
65.33,67.07773417
105.01,67.07773417
32.23,67.07773417
52.56,67.07773417
62.06,67.07773417
107.14,67.07773417
100.92,67.07773417
51.61,67.07773417
127.75,67.07773417
44.33,67.07773417
68.03,67.07773417
102.38,67.07773417
37.33,67.07773417
102.68,67.07773417
46.7,67.07773417
17.74,67.07773301
93.78,67.07773417
26.16,67.07773417
29.61,67.07773417
99.03,67.07773417
46.97,67.07773417
29.24,67.07773417
73.36,67.07773417
96.93,67.07773417
49.16,67.07773417
44.66,67.07773417
28.62,67.07773417
45.27,67.07773417
63.29,67.07773417
91.87,67.07773417
18.96,67.07773397
59.69,67.07773417
44.04,67.07773417
23.44,67.07773416
79.58,67.07773417
54.4,67.07773417
31.51,67.07773417
94.92,67.07773417
32.91,67.07773417
37.16,67.07773417
51.92,67.07773417
92.35,67.07773417
30.68,67.07773417
29.59,67.07773417
94.51,67.07773417
30.48,67.07773417
65.36,67.07773417
51.76,67.07773417
86.23,67.07773417
85.14,67.07773417
36.76,67.07773417
42.56,67.07773417
58.17,67.07773417
29.05,67.07773417
29.55,67.07773417
95.99,67.07773417
85.59,67.07773417
98.83,67.07773417
100.41,67.07773417
106.84,67.07773417
97.1,67.07773417
93.12,67.07773417
94.85,67.07773417
28.55,67.07773417
98.29,67.07773417
75.64,67.07773417
47.01,67.07773417
68.85,67.07773417
64.59,67.07773417
21.89,67.07773409
56.41,67.07773417
27.76,67.07773417
26.55,67.07773417
96.43,67.07773417
107.08,67.07773417
95.84,67.07773417
37.62,67.07773417
94.76,67.07773417
72.58,67.07773417
63.13,67.07773417
80.79,67.07773417
77.25,67.07773417
104.19,67.07773417
106.16,67.07773417
47.85,67.07773417
32.7,67.07773417
91.84,67.07773417
25.51,67.07773417
59.23,67.07773417
98.57,67.07773417
30.0,67.07773417
32.42,67.07773417
60.0,67.07773417
28.86,67.07773417
39.35,67.07773417
74.1,67.07773417
98.57,67.07773417
29.24,67.07773417
60.99,67.07773417
97.3,67.07773417
106.78,67.07773417
82.14,67.07773417
69.6,67.07773417
41.45,67.07773417
25.98,67.07773417
46.5,67.07773417
36.83,67.07773417
69.78,67.07773417
60.99,67.07773417
63.41,67.07773417
73.5,67.07773417
52.51,67.07773417
91.36,67.07773417
89.05,67.07773417
97.4,67.07773417
30.12,67.07773417
62.19,67.07773417
58.34,67.07773417
71.8,67.07773417
61.7,67.07773417
60.41,67.07773417
95.57,67.07773417
90.88,67.07773417
70.93,67.07773417
40.92,67.07773417
99.13,67.07773417
33.42,67.07773417
69.21,67.07773417
50.79,67.07773417
94.51,67.07773417
