Start,Output0
102.27
57.83
21.78
82.2
35.43
93.95
62.11
65.93
46.97
106.89
70.12
34.56
49.14
30.11
49.16
57.05
118.17
72.71
26.41
87.77
67.17
106.6
114.39
77.02
75.2
51.11
90.71
69.49
40.94
28.24
20.76
58.56
61.49
108.23
28.93
20.82
97.1
90.07
73.3
108.79
93.76
42.33
81.15
115.42
107.18
41.83
109.57
98.54
27.32
27.18
34.39
100.61
65.65
43.51
43.31
97.4
70.54
37.32
79.16
88.94
55.05
43.39
41.53
72.26
95.61
38.56
29.41
92.57
31.91
63.3
93.19
35.16
32.94
66.76
85.15
105.34
63.87
92.55
29.83
29.57
108.72
95.5
44.07
26.68
67.45
102.76
95.13
97.63
86.81
66.36
64.71
98.23
25.86
66.3
23.49
81.27
94.56
31.74
96.03
21.99
58.23
55.95
56.43
56.91
84.03
31.4
18.09
33.36
78.26
89.8
62.46
105.88
82.86
70.54
89.18
64.8
32.17
84.9
94.23
55.38
74.65
49.61
63.74
44.39
96.36
48.16
57.33
59.93
83.83
96.09
47.65
28.93
36.88
47.64
30.63
54.24
75.41
48.72
37.29
58.08
44.07
93.97
40.8
29.51
99.17
73.87
64.4
66.36
87.04
60.72
62.81
51.55
81.92
132.99
65.33
105.01
32.23
52.56
62.06
107.14
100.92
51.61
127.75
44.33
68.03
102.38
37.33
102.68
46.7
17.74
93.78
26.16
29.61
99.03
46.97
29.24
73.36
96.93
49.16
44.66
28.62
45.27
63.29
91.87
18.96
59.69
44.04
23.44
79.58
54.4
31.51
94.92
32.91
37.16
51.92
92.35
30.68
29.59
94.51
30.48
65.36
51.76
86.23
85.14
36.76
42.56
58.17
29.05
29.55
95.99
85.59
98.83
100.41
106.84
97.1
93.12
94.85
28.55
98.29
75.64
47.01
68.85
64.59
21.89
56.41
27.76
26.55
96.43
107.08
95.84
37.62
94.76
72.58
63.13
80.79
77.25
104.19
106.16
47.85
32.7
91.84
25.51
59.23
98.57
30.0
32.42
60.0
28.86
39.35
74.1
98.57
29.24
60.99
97.3
106.78
82.14
69.6
41.45
25.98
46.5
36.83
69.78
60.99
63.41
73.5
52.51
91.36
89.05
97.4
30.12
62.19
58.34
71.8
61.7
60.41
95.57
90.88
70.93
40.92
99.13
33.42
69.21
50.79
94.51
45.88
50.61
19.1
78.45
66.69
48.66
89.34
97.88
53.05
73.5
70.11
28.87
107.07
42.33
59.38
93.56
107.04
60.21
50.22
58.31
52.66
26.8
31.64
44.08
93.27
67.51
32.07
81.52
26.85
39.6
48.35
64.78
102.93
93.4
26.79
37.81
29.57
82.78
85.39
47.17
97.78
52.05
21.37
68.06
47.5
27.18
35.09
106.06
92.51
31.21
49.95
103.92
60.15
102.17
20.11
21.21
32.84
29.21
48.66
37.02
72.95
71.28
93.26
31.75
19.46
81.48
96.16
71.11
92.44
96.36
131.88
83.22
122.21
44.73
101.81
34.92
85.35
51.41
75.17
91.11
86.19
42.04
50.14
136.49
40.71
51.59
46.99
72.58
107.82
59.62
27.84
61.06
134.44
89.93
87.11
40.45
87.65
61.46
31.14
26.89
47.63
101.74
99.63
49.36
72.43
105.4
39.39
93.59
36.76
103.39
38.21
26.6
48.8
63.78
71.64
81.45
26.87
62.07
29.81
67.1
71.4
93.96
70.41
94.02
121.23
46.32
106.35
69.06
63.23
64.13
26.14
76.96
102.31
65.98
94.83
63.81
101.73
66.21
30.77
82.98
124.72
80.29
88.32
21.63
93.91
26.77
106.48
30.76
112.92
55.21
105.51
53.63
98.57
86.19
74.45
78.08
91.77
87.6
93.91
97.55
134.52
96.44
103.23
99.37
27.97
76.08
36.91
53.46
19.08
30.66
79.84
75.03
25.37
60.01
30.08
19.62
43.83
27.54
27.73
107.4
33.16
43.96
46.1
23.62
27.55
114.85
35.97
30.41
63.56
101.92
85.73
71.96
90.18
70.28
75.46
91.53
74.65
99.16
20.06
58.91
92.0
103.69
96.51
81.23
41.54
53.95
90.13
34.57
70.08
89.03
62.2
46.82
60.25
30.37
35.85
25.79
101.39
54.16
99.37
99.68
101.56
77.4
62.51
109.86
80.27
32.84
79.97
34.62
46.65
93.2
50.95
56.67
27.0
84.42
35.13
80.82
47.15
41.06
30.19
96.8
30.59
37.3
50.76
83.91
37.77
56.2
139.96
75.92
52.99
104.05
64.64
65.1
110.89
65.08
26.19
62.19
78.68
26.94
55.53
40.88
95.83
68.58
38.45
25.28
49.13
53.65
93.07
100.07
67.21
26.79
32.43
55.03
50.25
86.89
100.05
99.53
131.38
28.26
68.03
30.71
87.15
59.63
51.12
42.76
98.32
89.64
51.54
28.67
93.39
88.69
60.0
39.74
29.6
95.55
31.04
104.33
48.75
53.28
59.73
133.92
79.44
94.41
102.79
59.4
26.19
91.23
34.51
111.71
97.24
82.0
74.55
51.17
65.67
80.04
44.51
85.85
84.07
127.15
84.37
59.62
89.21
98.4
90.37
33.61
76.15
77.46
27.27
77.25
56.23
76.37
107.56
97.24
72.73
79.75
104.15
74.96
58.4
107.44
71.69
42.81
40.87
60.27
36.06
48.29
35.42
28.58
88.02
